Start,End,SQ1,SQ2,SQ3,SQ4,SQ5,SQ6,SQ7,SQ8,SQ9,SQ10,SQ11,SQ12,SQ13,SQ14,SQ15,SQ16,Total x 4,5 BLK TAVG,SQ AVG,5 BLK SQAVG,MEDIAN,MAX,MIN,FIRST Z,ZIP,Median Household,Average Household,Per-Capita,%High Income Houses,Median Household Income,Per Capita Income,Median Housing Value
17,18,1,0,0,0,3,3,2,3,2,2,0,5,3,,,,96,254.7,1.8,5.29,2,5,0,-0.559885258,10003,97524,156983,79088,0.21,97125,79065,784100
18,19,0,4,1,1,0,0,2,1,1,2,3,,,,,,60,403.0,1.4,8.79,1,4,0,-1.111873975,10003,97524,156983,79088,0.21,97125,79065,784100
19,20,17,19,23,17,22,19,7,10,7,4,1,6,,,,,608,453.6,12.7,10.31,13.5,23,1,0.593985161,10003,97524,156983,79088,0.21,140500,97318,620700
20,21,26,23,42,28,9,12,19,19,17,8,9,,,,,,848,624.0,19.3,13.89,19,42,8,0.689155245,10010,100763,150684,81938,0.249,140500,97318,620700
21,22,10,20,13,14,21,28,33,4,3,18,,,,,,,656,815.2,16.4,18.24,16,33,3,-0.698963245,10010,100763,150684,81938,0.249,142177,129281,982300
22,23,17,33,28,15,22,12,13,20,12,14,20,31,,,,,948,852.0,19.8,19.30,18.5,33,12,-0.387538619,10010,100763,150684,81938,0.249,108977,61733,na
23,24,10,43,42,18,33,29,17,16,17,15,14,,,,,,1016,708.0,23.1,16.03,17,43,10,-1.178666047,10010,100763,150684,81938,0.249,108977,61733,na
24,25,6,2,1,34,12,16,23,16,32,36,20,,,,,,792,804.0,18.0,17.48,16,36,1,-1.01484431,10010,100763,150684,81938,0.249,109844,133763,879200
25,26,6,1,3,2,1,0,5,5,3,2,4,,,,,,128,833.6,2.9,19.01,3,6,0,1.687391668,10010,100763,150684,81938,0.249,109844,133763,879200
26,27,18,27,24,21,39,25,41,21,13,11,23,21,,,,,1136,972.8,23.7,22.18,22,41,11,-0.66298094,10016,103960,152088,87576,0.22,109844,133763,879200
27,28,22,32,23,22,26,35,8,38,56,12,,,,,,,1096,948.0,27.4,21.61,24.5,56,8,-0.413869054,10016,103960,152088,87576,0.22,109844,133763,879200
